"Provisional weekly death counts, by age group and sex c 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15"
"Frequency: Weekly"
"Table: 13-10-0768-01"
"Release date: 2023-05-11"
"Geography: Canada, Province or territory"
""
""

,"Age at time of death","Age at time of death, all ages 18",,
,"Sex","Both sexes 19","Males","Females"
,"Characteristics 17","Number of deaths","Number of deaths","Number of deaths"
"Geography, place of occurrence 16","Reference period"
,,"Number",,
"Newfoundland and Labrador, place of occurrence","January 9, 2010","90","45","45"
,"January 16, 2010","95","50","45"
,"January 23, 2010","80","40","40"
,"January 30, 2010","80","35","45"
,"February 6, 2010","110","60","50"
,"February 13, 2010","85","35","50"
,"February 20, 2010","75","40","35"
,"February 27, 2010","85","45","40"
,"March 6, 2010","80","40","40"
,"March 13, 2010","75","35","40"
,"March 20, 2010","85","40","45"
,"March 27, 2010","110","55","55"
,"April 3, 2010","95","50","45"
,"April 10, 2010","85","40","45"
,"April 17, 2010","90","45","45"
,"April 24, 2010","90","50","40"
,"May 1, 2010","90","45","45"
,"May 8, 2010","90","45","45"
,"May 15, 2010","80","40","40"
,"May 22, 2010","90","45","45"
,"May 29, 2010","100","50","50"
,"June 5, 2010","95","55","40"
,"June 12, 2010","85","45","40"
,"June 19, 2010","70","40","30"
,"June 26, 2010","65","25","40"
,"July 3, 2010","80","45","35"
,"July 10, 2010","75","50","25"
,"July 17, 2010","80","45","35"
,"July 24, 2010","90","55","35"
,"July 31, 2010","85","45","40"
,"August 7, 2010","85","45","40"
,"August 14, 2010","75","40","35"
,"August 21, 2010","90","45","45"
,"August 28, 2010","70","40","30"
,"September 4, 2010","80","40","40"
,"September 11, 2010","90","50","40"
,"September 18, 2010","85","45","40"
,"September 25, 2010","75","40","35"
,"October 2, 2010","75","40","35"
,"October 9, 2010","100","40","60"
,"October 16, 2010","95","50","45"
,"October 23, 2010","85","45","40"
,"October 30, 2010","85","40","45"
,"November 6, 2010","80","45","35"
,"November 13, 2010","85","45","40"
,"November 20, 2010","95","40","55"
,"November 27, 2010","105","60","45"
,"December 4, 2010","90","55","35"
,"December 11, 2010","75","40","35"
,"December 18, 2010","90","50","40"
,"December 25, 2010","70","40","30"
,"January 1, 2011","90","50","40"
,"January 8, 2011","105","50","55"
,"January 15, 2011","85","50","35"
,"January 22, 2011","100","45","55"
,"January 29, 2011","95","50","45"
