"Provisional weekly death counts, by selected grouped causes of death c 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20"
"Frequency: Weekly"
"Table: 13-10-0810-01"
"Release date: 2023-05-11"
"Geography: Canada, Province or territory"
""
""

,"Cause of death (ICD-10)  3 4 5 6 13 14 15 16 17 18 19","Intentional self-harm (suicide)"
,"Characteristics 22","Number of deaths"
"Geography, place of occurrence 21","Reference period"
,,"Number"
"Canada, place of occurrence","January 9, 2010","60"
,"January 16, 2010","70"
,"January 23, 2010","65"
,"January 30, 2010","65"
,"February 6, 2010","70"
,"February 13, 2010","65"
,"February 20, 2010","60"
,"February 27, 2010","75"
,"March 6, 2010","65"
,"March 13, 2010","90"
,"March 20, 2010","75"
,"March 27, 2010","85"
,"April 3, 2010","75"
,"April 10, 2010","70"
,"April 17, 2010","80"
,"April 24, 2010","75"
,"May 1, 2010","85"
,"May 8, 2010","80"
,"May 15, 2010","90"
,"May 22, 2010","90"
,"May 29, 2010","95"
,"June 5, 2010","85"
,"June 12, 2010","80"
,"June 19, 2010","80"
,"June 26, 2010","90"
,"July 3, 2010","80"
,"July 10, 2010","95"
,"July 17, 2010","75"
,"July 24, 2010","75"
,"July 31, 2010","80"
,"August 7, 2010","80"
,"August 14, 2010","70"
,"August 21, 2010","80"
,"August 28, 2010","70"
,"September 4, 2010","95"
,"September 11, 2010","70"
,"September 18, 2010","80"
,"September 25, 2010","80"
,"October 2, 2010","75"
,"October 9, 2010","70"
,"October 16, 2010","80"
,"October 23, 2010","65"
,"October 30, 2010","70"
,"November 6, 2010","75"
,"November 13, 2010","70"
,"November 20, 2010","80"
,"November 27, 2010","75"
,"December 4, 2010","85"
,"December 11, 2010","55"
,"December 18, 2010","75"
,"December 25, 2010","60"
,"January 1, 2011","55"
,"January 8, 2011","75"
,"January 15, 2011","55"
,"January 22, 2011","70"
,"January 29, 2011","55"
,"February 5, 2011","70"
,"February 12, 2011","75"
,"February 19, 2011","85"
,"February 26, 2011","85"
,"March 5, 2011","70"
,"March 12, 2011","75"
,"March 19, 2011","70"
,"March 26, 2011","80"
,"April 2, 2011","85"
,"April 9, 2011","100"
,"April 16, 2011","60"
,"April 23, 2011","70"
,"April 30, 2011","75"
,"May 7, 2011","65"
,"May 14, 2011","70"
,"May 21, 2011","80"
,"May 28, 2011","75"
,"June 4, 2011","80"
,"June 11, 2011","75"
,"June 18, 2011","110"
,"June 25, 2011","60"
,"July 2, 2011","90"
,"July 9, 2011","85"
,"July 16, 2011","60"
,"July 23, 2011","85"
,"July 30, 2011","65"
,"August 6, 2011","85"
,"August 13, 2011","85"
,"August 20, 2011","85"
,"August 27, 2011","80"
,"September 3, 2011","85"
,"September 10, 2011","75"
,"September 17, 2011","75"
,"September 24, 2011","90"
,"October 1, 2011","85"
,"October 8, 2011","75"
,"October 15, 2011","65"
,"October 22, 2011","80"
,"October 29, 2011","75"
,"November 5, 2011","70"
,"November 12, 2011","55"
,"November 19, 2011","70"
,"November 26, 2011","95"
,"December 3, 2011","80"
,"December 10, 2011","70"
,"December 17, 2011","85"
,"December 24, 2011","60"
,"December 31, 2011","60"
,"January 7, 2012","65"
,"January 14, 2012","80"
,"January 21, 2012","80"
,"January 28, 2012","85"
,"February 4, 2012","75"
,"February 11, 2012","90"
,"February 18, 2012","65"
,"February 25, 2012","65"
,"March 3, 2012","85"
,"March 10, 2012","85"
,"March 17, 2012","80"
,"March 24, 2012","95"
,"March 31, 2012","80"
,"April 7, 2012","80"
,"April 14, 2012","65"
,"April 21, 2012","75"
,"April 28, 2012","75"
,"May 5, 2012","90"
,"May 12, 2012","80"
,"May 19, 2012","75"
,"May 26, 2012","80"
,"June 2, 2012","80"
,"June 9, 2012","100"
,"June 16, 2012","70"
,"June 23, 2012","85"
,"June 30, 2012","85"
,"July 7, 2012","70"
,"July 14, 2012","90"
,"July 21, 2012","85"
,"July 28, 2012","55"
,"August 4, 2012","70"
,"August 11, 2012","80"
,"August 18, 2012","75"
,"August 25, 2012","85"
,"September 1, 2012","90"
,"September 8, 2012","85"
,"September 15, 2012","60"
,"September 22, 2012","70"
,"September 29, 2012","75"
,"October 6, 2012","65"
,"October 13, 2012","75"
,"October 20, 2012","70"
,"October 27, 2012","90"
,"November 3, 2012","80"
,"November 10, 2012","85"
,"November 17, 2012","65"
,"November 24, 2012","65"
,"December 1, 2012","80"
,"December 8, 2012","70"
,"December 15, 2012","75"
,"December 22, 2012","65"
,"December 29, 2012","55"
,"January 5, 2013","60"
,"January 12, 2013","60"
,"January 19, 2013","80"
,"January 26, 2013","85"
,"February 2, 2013","70"
,"February 9, 2013","70"
,"February 16, 2013","75"
,"February 23, 2013","75"
,"March 2, 2013","85"
,"March 9, 2013","80"
,"March 16, 2013","75"
,"March 23, 2013","85"
,"March 30, 2013","65"
,"April 6, 2013","80"
,"April 13, 2013","75"
,"April 20, 2013","60"
,"April 27, 2013","75"
,"May 4, 2013","75"
,"May 11, 2013","120"
,"May 18, 2013","70"
,"May 25, 2013","90"
,"June 1, 2013","90"
,"June 8, 2013","90"
,"June 15, 2013","70"
,"June 22, 2013","80"
,"June 29, 2013","85"
,"July 6, 2013","85"
,"July 13, 2013","80"
,"July 20, 2013","85"
,"July 27, 2013","85"
,"August 3, 2013","80"
,"August 10, 2013","75"
,"August 17, 2013","90"
,"August 24, 2013","80"
,"August 31, 2013","75"
,"September 7, 2013","85"
,"September 14, 2013","75"
,"September 21, 2013","70"
,"September 28, 2013","85"
,"October 5, 2013","95"
,"October 12, 2013","75"
,"October 19, 2013","80"
,"October 26, 2013","65"
,"November 2, 2013","80"
,"November 9, 2013","80"
,"November 16, 2013","70"
,"November 23, 2013","85"
,"November 30, 2013","95"
,"December 7, 2013","75"
,"December 14, 2013","60"
,"December 21, 2013","70"
,"December 28, 2013","60"
,"January 4, 2014","85"
,"January 11, 2014","80"
,"January 18, 2014","80"
,"January 25, 2014","65"
,"February 1, 2014","70"
,"February 8, 2014","75"
,"February 15, 2014","95"
,"February 22, 2014","60"
,"March 1, 2014","70"
,"March 8, 2014","85"
,"March 15, 2014","70"
,"March 22, 2014","75"
,"March 29, 2014","80"
,"April 5, 2014","80"
,"April 12, 2014","70"
,"April 19, 2014","85"
,"April 26, 2014","75"
,"May 3, 2014","75"
,"May 10, 2014","80"
,"May 17, 2014","85"
,"May 24, 2014","80"
,"May 31, 2014","85"
,"June 7, 2014","85"
,"June 14, 2014","85"
,"June 21, 2014","70"
,"June 28, 2014","75"
,"July 5, 2014","70"
,"July 12, 2014","85"
,"July 19, 2014","80"
,"July 26, 2014","85"
,"August 2, 2014","70"
,"August 9, 2014","80"
,"August 16, 2014","105"
,"August 23, 2014","105"
,"August 30, 2014","105"
,"September 6, 2014","110"
,"September 13, 2014","85"
,"September 20, 2014","95"
,"September 27, 2014","85"
,"October 4, 2014","95"
,"October 11, 2014","70"
,"October 18, 2014","85"
,"October 25, 2014","85"
,"November 1, 2014","100"
,"November 8, 2014","80"
,"November 15, 2014","90"
,"November 22, 2014","65"
,"November 29, 2014","105"
,"December 6, 2014","75"
,"December 13, 2014","85"
,"December 20, 2014","80"
,"December 27, 2014","80"
,"January 3, 2015","90"
,"January 10, 2015","75"
,"January 17, 2015","80"
,"January 24, 2015","80"
,"January 31, 2015","75"
,"February 7, 2015","80"
,"February 14, 2015","85"
,"February 21, 2015","70"
,"February 28, 2015","75"
,"March 7, 2015","80"
,"March 14, 2015","85"
,"March 21, 2015","80"
,"March 28, 2015","85"
,"April 4, 2015","90"
,"April 11, 2015","95"
,"April 18, 2015","95"
,"April 25, 2015","95"
,"May 2, 2015","90"
,"May 9, 2015","70"
,"May 16, 2015","95"
,"May 23, 2015","90"
,"May 30, 2015","90"
,"June 6, 2015","80"
,"June 13, 2015","120"
,"June 20, 2015","90"
,"June 27, 2015","95"
,"July 4, 2015","90"
,"July 11, 2015","110"
,"July 18, 2015","80"
,"July 25, 2015","85"
,"August 1, 2015","80"
,"August 8, 2015","85"
,"August 15, 2015","90"
,"August 22, 2015","110"
,"August 29, 2015","90"
,"September 5, 2015","95"
,"September 12, 2015","90"
,"September 19, 2015","85"
,"September 26, 2015","95"
,"October 3, 2015","90"
,"October 10, 2015","100"
,"October 17, 2015","80"
,"October 24, 2015","80"
,"October 31, 2015","80"
,"November 7, 2015","75"
,"November 14, 2015","75"
,"November 21, 2015","95"
,"November 28, 2015","70"
,"December 5, 2015","85"
,"December 12, 2015","90"
,"December 19, 2015","85"
,"December 26, 2015","60"
,"January 2, 2016","80"
,"January 9, 2016","90"
,"January 16, 2016","95"
,"January 23, 2016","70"
,"January 30, 2016","80"
,"February 6, 2016","90"
,"February 13, 2016","85"
,"February 20, 2016","85"
,"February 27, 2016","80"
,"March 5, 2016","75"
,"March 12, 2016","90"
,"March 19, 2016","75"
,"March 26, 2016","85"
,"April 2, 2016","100"
,"April 9, 2016","85"
,"April 16, 2016","100"
,"April 23, 2016","80"
,"April 30, 2016","85"
,"May 7, 2016","85"
,"May 14, 2016","80"
,"May 21, 2016","90"
,"May 28, 2016","90"
,"June 4, 2016","95"
,"June 11, 2016","80"
,"June 18, 2016","85"
,"June 25, 2016","100"
,"July 2, 2016","80"
,"July 9, 2016","90"
,"July 16, 2016","70"
,"July 23, 2016","75"
,"July 30, 2016","85"
,"August 6, 2016","90"
,"August 13, 2016","100"
,"August 20, 2016","65"
,"August 27, 2016","85"
,"September 3, 2016","95"
,"September 10, 2016","95"
,"September 17, 2016","85"
,"September 24, 2016","80"
,"October 1, 2016","80"
,"October 8, 2016","85"
,"October 15, 2016","80"
,"October 22, 2016","95"
,"October 29, 2016","80"
,"November 5, 2016","80"
,"November 12, 2016","80"
,"November 19, 2016","95"
,"November 26, 2016","80"
,"December 3, 2016","90"
,"December 10, 2016","75"
,"December 17, 2016","90"
,"December 24, 2016","65"
,"December 31, 2016","70"
,"January 7, 2017","95"
,"January 14, 2017","65"
,"January 21, 2017","105"
,"January 28, 2017","75"
,"February 4, 2017","75"
,"February 11, 2017","75"
,"February 18, 2017","80"
,"February 25, 2017","80"
,"March 4, 2017","85"
,"March 11, 2017","90"
,"March 18, 2017","80"
,"March 25, 2017","90"
,"April 1, 2017","80"
,"April 8, 2017","90"
,"April 15, 2017","80"
,"April 22, 2017","105"
,"April 29, 2017","95"
,"May 6, 2017","100"
,"May 13, 2017","80"
,"May 20, 2017","65"
,"May 27, 2017","115"
,"June 3, 2017","90"
,"June 10, 2017","85"
,"June 17, 2017","80"
,"June 24, 2017","105"
,"July 1, 2017","95"
,"July 8, 2017","75"
,"July 15, 2017","95"
,"July 22, 2017","80"
,"July 29, 2017","75"
,"August 5, 2017","95"
,"August 12, 2017","105"
,"August 19, 2017","90"
,"August 26, 2017","95"
,"September 2, 2017","75"
,"September 9, 2017","80"
,"September 16, 2017","80"
,"September 23, 2017","80"
,"September 30, 2017","85"
,"October 7, 2017","100"
,"October 14, 2017","80"
,"October 21, 2017","75"
,"October 28, 2017","105"
,"November 4, 2017","75"
,"November 11, 2017","75"
,"November 18, 2017","90"
,"November 25, 2017","85"
,"December 2, 2017","75"
,"December 9, 2017","75"
,"December 16, 2017","85"
,"December 23, 2017","80"
,"December 30, 2017","85"
,"January 6, 2018","95"
,"January 13, 2018","85"
,"January 20, 2018","80"
,"January 27, 2018","65"
,"February 3, 2018","90"
,"February 10, 2018","75"
,"February 17, 2018","80"
,"February 24, 2018","80"
,"March 3, 2018","95"
,"March 10, 2018","85"
,"March 17, 2018","75"
,"March 24, 2018","105"
,"March 31, 2018","75"
